Date,Location,Artist,Venue,Lineup,Gear Notes,Link
2022-06-12,"Chicago, IL",Case Oats,Eli's house,Case Oats,Epiphone Cortez
2022-06-23,"Chicago, IL",Ripley,Gman Tavern,"Honey Cellar, Ripley, Ester",Joey from Honey Cellar's mix of vintage and modern Ludwigs
2022-06-25,"Chicago, IL",Sammy and Spencer Tweedy,Mu Gallery,"BSA Gold, Sammy & Spencer Tweedy",Red Onyx Slingerland
2022-07-21,"Chicago, IL",Jeff Tweedy,Pritzker Pavilion,"Jeff Tweedy, People's Music School",Tweedy C&C
2022-07-22,"Chicago, IL",Lucky Cloud,Golden Dagger,"Alayne May, Morinda, Lucky Cloud","Seth Engel's kit (Tama?), orange Acrolyte"
2022-07-23,"Chicago, IL",Joan Shelley,Old Town School of Folk Music,"Joan Shelley, Health and Beauty",Red Onyx Slingerland
2022-07-24,"Chicago, IL",Dougie Poole,Judson & Moore Distillery,Cosmic Country Cookout,Red Onyx Slingerland
2022-07-29,"Albany, WI",Case Oats,Postock,Postock,Whitehall
2022-07-29,"Albany, WI",Dida Pelled,Postock,Postock,Whitehall
2022-07-30,"Albany, WI",Aux Thom,Postock,Postock,Jack Henry kit
2022-07-30,"Albany, WI",Sima Cunningham,Postock,Postock,Jack Henry kit
2022-08-05,"Fishers, IN",Liam Kazar,Nickel Plate District Amphitheater,"Waxahatchee, Liam Kazar",Red Onyx Slingerland
2022-08-06,"Evanston, IL",Liam Kazar,Out of Space at Canal Shores Golf Course,"Lucinda Williams, Waxahatchee, Liam Kazar",Red Onyx Slingerland
2022-08-07,"Milwaukee, WI",Liam Kazar,Pabst Theater,"Waxahatchee, Liam Kazar",Red Onyx Slingerland
2022-08-12,"Green Lake, WI",Aux Thom,Avrom Farm Party,Avrom Farm Party,Whitehall with orange Acrolyte
2022-08-12,"Green Lake, WI",Sima Cunningham,Avrom Farm Party,Avrom Farm Party,Whitehall with orange Acrolyte
2022-08-13,"Green Lake, WI",Henry True,Avrom Farm Party,Avrom Farm Party,Whitehall with orange Acrolyte
2022-08-13,"Green Lake, WI",Sabine McCalla,Avrom Farm Party,Avrom Farm Party,Whitehall with orange Acrolyte
2022-08-19,"Chicago, IL",Lucky Cloud,Schubas,"Astrachan, Lucky Cloud, Pyzow","Astrachan kit, I think it was a Gretsch?"
2022-08-24,"Chicago, IL",Case Oats,The Giant Penny Whistle,"Cass Cwik, Tommy Goodroad, Case Oats","Alan from Cass's band's tiny jazz-y kit. Tiny kick drum, not very good-sounding on stage but great in the house."
2022-09-04,"Traverse City, MI",Finom,Iron Fish Distillery,All Call Music Festival,Backline Farmer nesting kit
