id,Date,Location,Artist,Venue,Lineup,Gear Notes,Link,Created on
66,2022-04-03,"Bloomington, IN",Liam Kazar,The Bishop,"Liam Kazar, Free Range",Red Onyx Slingerland,,2025-08-03
67,2022-04-09,"Chicago, IL","Madeleine Kelson",Martyrs,"Madeleine Kelson, Alaina Stacy, Carleton Koldyke",House kit with my orange Acrolyte,,2025-08-03
,2022-04-09,"Chicago, IL","Alaina Stacey",Martyrs,"Madeleine Kelson, Alaina Stacy, Carleton Koldyke",House kit with my orange Acrolyte,,2025-08-03
68,2022-04-15,"Chicago, IL",Ripley,Gman Tavern,"Aunt Kelly, Ripley, The Dearlys",Sarah Weddle's vintage Ludwig with my orange Acrolyte,,2025-08-03
69,2022-04-16,"Chicago, IL",Lucky Cloud,Lincoln Hall,"Elizabeth Moen, Lucky Cloud","Liz's drummer David's cool Mapex orange kit, with my orange Acrolyte",,2025-08-03
70,2022-05-06,"Denver, CO",Liam Kazar,Bluebird Theater,"Fruit Bats, Liam Kazar",Backline blue sparkle vintage Ludwig,,2025-08-03
71,2022-05-07,"Denver, CO",Liam Kazar,Bluebird Theater,"Fruit Bats, Liam Kazar",Backline blue sparkle vintage Ludwig,,2025-08-03
72,2022-05-12,"Chicago, IL",Liam Kazar,Hideout,"Sam Evian, Liam Kazar",Red Onyx Slingerland,,2025-08-03
73,2022-05-27,"North Adams, MA",Ohmme,MASS MoCA,Solid Sound,Orange Acrolyte snare,,2025-08-03
74,2022-05-28,"North Adams, MA",Liam Kazar,MASS MoCA,Solid Sound,Red Onyx Slingerland,,2025-08-03
75,2022-05-28,"North Adams, MA",Mirror Sound,MASS MoCA,Solid Sound,Red Onyx Slingerland,,2025-08-03
76,2022-05-29,"North Adams, MA",Jeff Tweedy,MASS MoCA,Solid Sound,Tweedy C&C,,2025-08-03
77,2022-05-29,"North Adams, MA",Liam Kazar,MASS MoCA,Solid Sound,Red Onyx Slingerland,,2025-08-03
78,2022-05-29,"North Adams, MA",Sam Evian,MASS MoCA,Solid Sound,A cymbal and orange Acrolyte snare,,2025-08-03
79,2022-05-31,"Winooski, VT",Liam Kazar,Monkey House,"Liam Kazar, Bear's Tapestry",Bear's Tapestry's Starclassic drums,,2025-08-03
80,2022-06-01,"Kingston, NY",Liam Kazar,Tubby's,"Liam Kazar, Hannah Cohen and Sam Evian",Red Onyx Slingerland,,2025-08-03
81,2022-06-02,"Troy, NY",Liam Kazar,Hangar on the Hudson,"Liam Kazar, The Greetings",Red Onyx Slingerland,,2025-08-03
82,2022-06-03,"New Haven, CT",Liam Kazar,Cafe Nine,"Liam Kazar, SG Carlson",Red Onyx Slingerland,,2025-08-03
83,2022-06-05,"Buffalo, NY",Liam Kazar,Buffalo Iron Works,Liam Kazar (no opener),Red Onyx Slingerland,,2025-08-03
84,2022-06-06,"Detroit, MI",Liam Kazar,UFO Factory,"Liam Kazar, Rachele Eve",Red Onyx Slingerland,,2025-08-03
85,2022-06-11,"Chicago, IL",Sima Cunningham,Green Mill,Paper Machete,"Red Onyx Slingerland bass drum, orange Acrolyte snare, house toms and hardware",,2025-08-03
86,2022-06-11,"Chicago, IL",Sima Cunningham,Hungry Brain,Sima Cunningham,House kit with my orange Acrolyte,,2025-08-03
87,2022-06-12,"Chicago, IL",Case Oats,Eli's house,Case Oats,Epiphone Cortez,,2025-08-03
88,2022-06-23,"Chicago, IL",Ripley,Gman Tavern,"Honey Cellar, Ripley, Ester",Joey from Honey Cellar's mix of vintage and modern Ludwigs,,2025-08-03
89,2022-06-25,"Chicago, IL",Sammy Tweedy and Spencer Tweedy,Mu Gallery,"BSA Gold, Sammy & Spencer Tweedy",Red Onyx Slingerland,,2025-08-03
90,2022-07-21,"Chicago, IL",Jeff Tweedy,Pritzker Pavilion,"Jeff Tweedy, People's Music School",Tweedy C&C,,2025-08-03
91,2022-07-22,"Chicago, IL",Lucky Cloud,Golden Dagger,"Alayne May, Morinda, Lucky Cloud","Seth Engel's kit (Tama?), orange Acrolyte",,2025-08-03
92,2022-07-23,"Chicago, IL",Joan Shelley,Old Town School of Folk Music,"Joan Shelley, Health and Beauty",Red Onyx Slingerland,,2025-08-03
